date,forecast_demand,mean_se,lower_ci,upper_ci
2025-01-01,3188.059073400203,732.9331227028356,1751.536549826169,4624.581596974237
2025-01-02,3266.028358639176,733.1573004070942,1829.0664548386583,4702.990262439694
2025-01-03,3273.543870133402,733.1577701546894,1836.5810456445158,4710.506694622288
2025-01-04,3232.9278515715864,733.1577622084865,1795.9650426569717,4669.890660486201
2025-01-05,3298.280984103932,733.1577624227599,1861.3181747693493,4735.243793438514
2025-01-06,3249.6095502271373,733.1577624269341,1812.6467408843732,4686.572359569902
2025-01-07,3368.800546503212,733.1577624364496,1931.8377371417978,4805.763355864627
2025-01-08,3280.1255824051154,733.556297473551,1842.3816587244053,4717.869506085825
2025-01-09,3280.8684866949484,733.556129171594,1843.1248928800126,4718.612080509884
2025-01-10,3276.765834708459,733.5561399050933,1839.0222198562508,4714.509449560667
2025-01-11,3294.2507641293682,733.5561396465555,1856.507149783885,4731.994378474851
2025-01-12,3266.1517609085836,733.5561396633808,1828.4081465301233,4703.895375287044
2025-01-13,3287.077954256653,733.5561396732006,1849.3343398589461,4724.82156865436
2025-01-14,3235.8320396718877,733.5561396831989,1798.0884252545848,4673.575654089191
2025-01-15,3273.9576510581983,733.6198397980144,1836.0891867100459,4711.826115406351
2025-01-16,3273.6382409456205,733.6200616623529,1835.7693417513551,4711.507140139885
2025-01-17,3275.402167402694,733.6200572213044,1837.5332769127237,4713.271057892664
2025-01-18,3267.8845593513483,733.6200573449833,1830.015668618972,4705.753450083725
2025-01-19,3279.9656657580317,733.6200573518115,1842.0967750122722,4717.834556503791
2025-01-20,3270.9684936327994,733.6200573616112,1833.099602867833,4708.837384397766
2025-01-21,3293.001565131521,733.6200573713352,1855.132674347496,4730.870455915547
2025-01-22,3276.609539963981,733.6361089010792,1838.709188759761,4714.509891168202
2025-01-23,3276.746869659526,733.6360411615135,1838.846651222415,4714.647088096637
2025-01-24,3275.9884732475953,733.636043114373,1838.0882509829498,4713.888695512241
2025-01-25,3279.220652769354,733.6360430749445,1841.3204305819868,4717.120874956721
2025-01-26,3274.0264068787505,733.6360430860375,1836.1261846696418,4711.9266290878595
2025-01-27,3277.894721813274,733.6360430958454,1839.994499584942,4715.794944041606
2025-01-28,3268.4216497918,733.6360431056859,1830.521427544181,4706.321872039419
2025-01-29,3275.469365994188,733.6371714776293,1837.5669321781988,4713.371799810177
2025-01-30,3275.410321384967,733.6372057244446,1837.5078204464533,4713.312822323481
